student_id,student_name,age,gender,country,state,education_level,employment_status,industry,years_of_experience,course_name,course_category,course_fee,engagement_score,progress_percent,enrollment_date,last_active_date,assignment_submission_rate,attendance_rate,satisfaction_rating,dropout_probability,dropout_status
0,"Meredith Barnes",32,Male,USA,California,Graduate,Employed,Marketing,0,"Machine Learning Pro","AI & Data Science",2200,0.21,34,2020-01-21,2025-02-01,0.17,0.84,2,0.56,"May Leave"
1,"Allison Hill",22,Male,USA,California,unknown,Freelancer,IT,0.3,"Branding & Consumer Behavior",Marketing,1700,2.21,0,2024-08-21,2025-01-17,0.59,0.89,1,0.38,"Not Likely"
2,"Ayaan D’Alia",32,Other,India,"West Bengal",Diploma,Freelancer,Marketing,0,"Personal Finance Mastery",Finance,1850,0.95,0,2024-12-08,0000-00-00,0.83,0.46,1,0.33,"Not Likely"
3,"Kari Johnson",27,unknown,USA,Texas,Postgraduate,unknown,Marketing,0,"Strategic Thinking",Business,1400,0.86,76,2021-05-07,2025-03-02,0.6,0.82,4,0.18,"Not Likely"
4,"Kimberly Dudley",32,Other,USA,Illinois,Undergraduate,Student,Marketing,1.6,"AI for Business","AI & Data Science",2200,0.26,64,2025-04-05,2025-03-12,0.11,0.78,0,0.47,"May Leave"
5,"Lajita Mall",32,Female,India,"Tamil Nadu",unknown,Unemployed,,0,"Prompt Engineering for LLMs","AI & Data Science",2750,0.45,31,2021-05-20,0000-00-00,0.02,0.73,5,0.51,"May Leave"
6,"Amanda Davis",22,Other,Canada,Quebec,Undergraduate,Employed,Marketing,0,"Leadership Development",HR,1350,0.54,48,2024-10-09,2025-02-08,0.83,0.77,3,0.41,"May Leave"
7,"Tyler Cowan",37,unknown,Singapore,Singapore,Diploma,Freelancer,Education,0,"Prompt Engineering for LLMs","AI & Data Science",2800,0.96,12,2021-04-25,2025-02-06,0.26,0.45,2,0.45,"May Leave"
8,"Luke Lanka",19,unknown,India,"West Bengal",unknown,unknown,Others,0,"Digital Marketing Bootcamp",Marketing,1850,0.27,0,2024-08-01,2025-02-21,0.93,0.96,1,0.45,"May Leave"
9,"Lajita Chatterjee",32,unknown,India,"West Bengal",Postgraduate,Unemployed,Finance,5.1,"AI Product Management","AI & Data Science",2500,0.16,0,2022-04-01,2025-01-09,0.38,0.76,4,0.56,"May Leave"
